region,district,area
Western,Wassa Amenfi East,Fuinyaso
Western,Unknown,Funye
Ashanti,Atwima Nwabiagya,Fufuo
Ashanti,Asante Akim South District,Fufunikawkaw
Savannah,Bole,Fuchmbluma
Volta,North Dayi,Fu
Central,Mfatseman,Fu
Savannah,Central Gonja,Fryfusu
Central,Assin South,Froduayie
Western,Ahanta West,Frobohu
Volta,North Tongu,Fremoko
Western,Unknown,Frein
Western,Ahanta West,Buleti
Central,Assin North,Frantin
Eastern,Asuogyaman,Frankadua
Central,Twifo Hemang Lower Denkyira,Frami
Eastern,Kwahu South,Framasi
Central,Assin South,Framasi
Savannah,West Gonja,Frago
Bono East,Atebubu-Amantin District,Frafraso
Eastern,Kwahu Afram Plains South,Fradaka
Central,Upper Denkyira West,Fourteen
Eastern,Nsawam Adoagyiri,Fotobi
Central,Asikuma/Odoben/Brakwa,Fosuansa
Central,Twifo Ati-Morkwa,Fosua
Central,Assin North,Foso Odumasi
Central,Upper Denkyira East,Foso
Central,Twifo Ati-Morkwa,Foso
Central,Assin North,Foso
Volta,Ho West,Fosime
Northern,Tamale,Foshogo
Upper East,Builsa South,Forinsa
Bono,Berekum,Oforikurom
Bono East,Techiman North District,Oforikurom
Volta,South Tongu District,Fopu
Ashanti,Adansi North,Fomena
Central,Gomoa West,Fomena
Central,Mfatseman,Fomena
Eastern,Kwahu East,Fomangkuma
Eastern,Asuogyaman,Folikwapaw
Greater Accra,Ada West,Folikope
Volta,Adaklu,Fokbe
Volta,North Tongu,Fojoku
Ashanti,Amansie Central,Fahiakobo
Volta,Agotime Ziope,Fofe
Volta,Hohoe,Fodome Xelu
Volta,North Dayi,Fodome
Western North,Aowin/Suaman,Fobikrom
Central,Upper Denkyira West,Fobenso
Bono,Jaman South,Fawoman
Volta,North Tongu,Flunkakpe
Volta,Keta,Floto
Volta,Ketu South District,Flagbo
North East,West Mamprusi,Fiusoanua
North East,West Mamprusi,Fiu
Savannah,East Gonja,Fishila
Greater Accra,Ga West,Fise
Upper East,North Builsa District,Fisa
Upper East,Bongo District,Feo Nabisi
Eastern,Asuogyaman,Finte
Ashanti,Obuasi,Finaso
Ashanti,Amansie Central,Fenaso Number Two
Ashanti,Unknown,Fina
Upper West,Lambussie Karni,Piina
Volta,South Tongu District,Fieve
Northern,Gushiegu,Fietole
North East,Chereponi,Fieso
Northern,Tolon District,Fieniti
Bono East,Nkoranza North District,Fiema
Upper West,Sissala West,Fielmon
Volta,North Tongu,Fiekbe
Western North,Aowin/Suaman,Fiefiere
Eastern,Asuogyaman,Fiefienon
Volta,South Tongu District,Fiave
Western,Unknown,Fiataka
Eastern,Kwahu Afram Plains South,Fiasi
Bono,Sunyani West,Fiapri
Ashanti,Amansie Central,Fiankoma
Central,Awutu Senya,Fianko
Upper West,Daffiama Bussie Issa District,Fian
Volta,North Tongu,Fialenyigban
Bono East,Atebubu-Amantin District,Fiakwasa
Eastern,Birim North,Fiakwai
Western,Unknown,Fia
Western,Ellembelle,Fiakpole
Greater Accra,Shai Osudoku District,Fiakonya
Volta,Keta,Fiahaw
Volta,Akatsi South,Fiagbedukofe
Volta,Afadzato South,Fiafe
Volta,Akatsi District,Fiafe
Western,Ellembelle,Nyamebekyere
Ashanti,Sekyere East,Feyiasi
Ashanti,Bosomtwe,Feyiase
Upper East,Bawku West,Fetiga
Bono,Berekum,Feteyano
Bono,Unknown,Fefenta
Central,Gomoa East,Fete Point
Bono,Berekum,Fetenta
Western,Jomoro,Fetekoro
Central,Gomoa East,Fete Gwa
Bono,Unknown,Fete
Ahafo,Unknown,Fete
Central,Gomoa East,Fete
Volta,Kpando,Fesi
Volta,Ketu North District,Fenyi Yokoe
Volta,Keta,Fenyiko
Volta,Ketu North District,Fenyi Hata
Volta,Keta,Fenyigago
Volta,Ketu North District,Fenyi Achagome
Ashanti,Amansie Central,Fenyami
Bono,Banda,Felo
Upper West,Unknown,Felin
Western,Wassa Amenfi West,Feliyeya
Bono,Jaman North,Febi
Ashanti,Asante Akim South District,Fawutrikosie
Western,Mpohor,Fawumaye
Western,Shama,Fawumaye
Central,Ajumako/Enyan/Essiam,Fawumanye
Ashanti,Ahafo Ano South,Fawoman
Ashanti,Sekyere East,Fawuman
Ashanti,Kwabre District,Fawoade
Eastern,Birim South,Fawtrikawsie
Ashanti,Amansie West,Fawotriche
Ahafo,Asunafo North,Fahoiden
Western,Jomoro,Fawmang
North East,Chereponi,Fawle
Greater Accra,Shai Osudoku District,Fawkpi
Volta,North Tongu,Fawji
Upper West,Sissala West,Fatchu
Eastern,Kwahu Afram Plains South,Faso
Western,Ahanta West,Fasen
Upper East,Garu District,Farifari
Upper East,North Builsa District,Farensa
Upper East,Bawku West,Faraga
Eastern,Ayensuano,Faotri Kosie
Ashanti,Adansi South,Faohiakawbaw
Western,Prestea-Huni Valley,Fanti Village
Greater Accra,Ada East,Fantivikope
Central,Assin South,Fanti Nyankumasi
Eastern,Fanteakwa,Fankyeneko
Eastern,Ayensuano,Fanchuma
Eastern,West Akim,Fanchuma
Volta,Ho West,Fanchirinko
Greater Accra,Ga West,Fanchiniko
Western,Nzema East,Fanchenebra
North East,Chereponi,Famisa
Western North,Aowin/Suaman,Famiakrom
Western,Prestea-Huni Valley,Famayo
Central,Agona East,Famaye
Central,Ajumako/Enyan/Essiam,Famaye
Central,Abura/Asebu/Kwamankese,Famaye
Western,Wassa Amenfi Central,Famaya
Western,Unknown,Akrosu
Central,Asikuma/Odoben/Brakwa,Faman
Upper West,Lawra,Falu
Volta,North Tongu,Fakpoe
Western,Unknown,Fakobra
Greater Accra,Ga South,Faana
Savannah,North Gonja,Faisa
Central,Gomoa West,Faimaiya
Oti,Biakoye,Fahiakoho
Western,Wassa Amenfi Central,Fahiakochwi
Central,Upper Denkyira East,Fahiakochire
Western North,Bibiani/Ahwiaso/Bekwai,Fahiakobo
Western,Jomoro,Ezuriti
Central,Mfatseman,Ewusi
Central,Gomoa East,Ewurukwa
Eastern,Asuogyaman,Ewurahai
Western,Mpohor,Ewuoanyem
Western,Nzema East,Ewuku
Central,Assin North,Awisam
Bono,Wenchi,Awisa
Eastern,Birim South,Ewisa
Western,Jomoro,Ewihu
Ashanti,Asante Akim North,Ewiamon
Ashanti,Kumasi,Ehwemase
Western,Jomoro,Eviema
Volta,Central Tongu,Evenu
Western North,Aowin/Suaman,Eturba
Volta,Akatsi District,Etsame
Volta,Ho,Etoi
Volta,Ho West,Etoe
Western,Nzema East,Etinasi
Central,Ekumfi,Etibedu
Ashanti,Ejisu Juaben,Etia
Oti,Kadjebi,Mont Étébéléa
Central,Upper Denkyira West,Esuyawnfuo
Ashanti,Ahafo Ano North,Asuhyiaee
Western North,Aowin/Suaman,Esuoti
Western,Nzema East,Eziome
Central,Twifo Ati-Morkwa,Esuoja
Eastern,Upper West Akim,Esuochwi
Eastern,Akuapim South,Esuochi
Ashanti,Bekwai,Asumeja
Western,Wassa Amenfi West,Esunafo
Central,Asikuma/Odoben/Brakwa,Esukawkaw
Western,Jomoro,Esujo
Central,Ekumfi,Esuehie
Western,Nzema East,Esuawua
Western,Tarkwa Nsuaem,Esuaso
Eastern,Birim South,Esuansa
Bono East,Nkoranza South,Esuanaw
Central,Upper Denkyira West,Esuadai
Central,Agona West,Esuabra
Ashanti,Amansie West,Essuowin
Central,Gomoa East,Esiwukroa
Western North,Suaman,Esileso
Central,Gomoa East,Esikuma
Central,Gomoa West,Esikuma
Ashanti,Adansi North,Esikofokrom
Bono,Dormaa,Asikasu
Central,Asikuma/Odoben/Brakwa,Esikaso
Central,Ajumako/Enyan/Essiam,Esikado
Western,Secondi Takoradi,Esikado
Western,Ahanta West,Esienkrom
Central,Assin South,Esienchem
Eastern,Birim Central,Esiem
Ashanti,Bekwai,Esiankwanta
Western,Shama,Esiamang
Ashanti,Atwima Mponua,Esiamakrom
Western,Ellembelle,Essiama
Central,Ajumako/Enyan/Essiam,Esiam
Central,Komenda/Edina/Eguafo/Abirem,Esiam
Central,Komenda/Edina/Eguafo/Abirem,Esiako
Central,Upper Denkyira West,Ehwenyame
Central,Ajumako/Enyan/Essiam,Eshiro
Eastern,Birim Central,Eshiem
Central,Gomoa West,Eshiem
Central,Ajumako/Enyan/Essiam,Eshiem
Ashanti,Afigya-Kwabre District,Esen
Western North,Bia,Essem
Ashanti,Atwima Nwabiagya,Esaso
Eastern,Upper West Akim,Esaso
Eastern,Atiwa,Esasi
Ashanti,Amansie Central,Esasi
Ashanti,Adansi South,Esasi
Central,Upper Denkyira East,Esasi
Ashanti,Amansie West,Esase
Western,Wassa Amenfi Central,Esanse
Western,Jomoro,Esambolo
Central,Ajumako/Enyan/Essiam,Esamang
Western,Mpohor/Wassa East,Esaaman
Central,Abura/Asebu/Kwamankese,Esamang
Central,Komenda/Edina/Eguafo/Abirem,Esamang
Western,Tarkwa Nsuaem,Esamang
Western,Nzema East,Esamang
Central,Ajumako/Enyan/Essiam,Esadzi
Central,Assin North,Esabro
Western,Jomoro,Epunwanta
Western,Jomoro,Epunsa
Western,Jomoro,Ekpu
Central,Agona West,Epumakura
Western,Wassa Amenfi East,Epom
Eastern,Birim Central,Eprokumasi
Western,Wassa Amenfi Central,Eprekrom
Western,Ellembelle,Epoko
Western,Prestea-Huni Valley,Epieso
Eastern,Birim South,Epamso
Volta,Ho West,Enyito
Eastern,Atiwa,Enyiresi
Ashanti,Atwima Mponua,Enyinawonsu
Central,Gomoa West,Enyeme
Central,Ajumako/Enyan/Essiam,Enyanmem
Central,Ajumako/Enyan/Essiam,Enyan Denkyira
Central,Upper Denkyira East,Enuwanti
Eastern,Kwahu Afram Plains South,Enuma
Western,Wassa Amenfi Central,Enuenti
Western,Wassa Amenfi Central,Enuensuso
Central,Ajumako/Enyan/Essiam,Entumbil
Western,Unknown,Ensue
Central,Assin South,Ensonyamiye
Central,Assin North,Enjua
Central,Assin South,Enitimfi
Western,Prestea-Huni Valley,Enimniechini
Ashanti,Sekyere Afram Plains,Enikawso
Western,Mpohor,Enikarokawso
Ashanti,Adansi North,Enikawkaw
Ashanti,Obuasi,Enikawkaw
Western,Prestea-Huni Valley,Enikawkaw
Ashanti,Offinso Municipal District,Enianti
Western,Mpohor,Enenide
Western North,Aowin/Suaman,Enkye
Ashanti,Ahafo Ano South,Enama
Ashanti,Unknown,Emura
Western,Jomoro,Emunakpole
Western,Ahanta West,Emoana
Volta,Afadzato South,Emli
Ashanti,Atwima Nwabiagya,Amisare
Eastern,Birim South,Emim
Western,Jomoro,Elubo
Western,Ahanta West,Aluaso
Western,Unknown,Elua
Western,Ahanta West,Alabanketa
Central,Komenda/Edina/Eguafo/Abirem,Elmina Point
Central,Unknown,Elmina Bay
Central,Komenda/Edina/Eguafo/Abirem,Elmina
Volta,Ketu North District,Eleme
Greater Accra,Ada East,Elavanyo
Central,Gomoa East,Ekwamkrom
Central,Ekumfi,Ekutsi
Western,Wassa Amenfi West,Ekuso
Central,Ekumfi,Ekumpuanu
Northern,Kpandai,Ekumdipe
Eastern,Asuogyaman,Ekum
Western North,Aowin/Suaman,Ekukro
Western,Secondi Takoradi,Ekuasi
Central,Abura/Asebu/Kwamankese,Ekroful
Bono,Wenchi,Akurobi
Central,Ekumfi,Ekrawfo
Central,Upper Denkyira East,Ekrafu
Volta,Ho West,Ekpopawnu
Western,Ellembelle,Ekowansero
Eastern,Atiwa,Ekawso
Eastern,West Akim,Ekawso
Central,Abura/Asebu/Kwamankese,Ekaonidamfo
Ashanti,Bekwai,Ejwinasi
Ashanti,Afigya-Kwabre District,Adwiratia
Ashanti,Ejura Sekyedumase,Ejura
Ashanti,Amansie West,Ejumon
Central,Asikuma/Odoben/Brakwa,Ejuman
Eastern,Kwahu South,Ejuanema
Ashanti,Ejisu Juaben,Ejisu
Central,Gomoa West,Ejisimanku Hill
Western,Mpohor/Wassa East,Ejinasi
Central,Mfatseman,Ejife
Ashanti,Asante Akim North,Ejian
Ashanti,Sekyere Afram Plains,Ejesema
Bono,Jaman South,Nwenem
Ashanti,Bosomtwe,Ejeman
Western,Jomoro,Ejeinu
Western,Ahanta West,Ebyam
Central,Ekumfi,Ejaku Kwa
Western,Unknown,Agyia
Western North,Aowin/Suaman,Ejafubi
Central,Mfatseman,Eja
Western,Unknown,Eivla
Central,Ekumfi,Eisam
Central,Asikuma/Odoben/Brakwa,Eipe
Central,Ekumfi,Einado
Western,Ellembelle,Eikwe
Western,Wassa Amenfi West,Eibokrom
Ashanti,Kwabre District,Ahwiaa
Central,Assin North,Ehwia
Western,Unknown,Ehuro
Western North,Aowin/Suaman,Ehlajimi
Ashanti,Amansie Central,Ehima
Western,Tarkwa Nsuaem,Ehiansheda
Ashanti,Sekyere South,Ehiaminchini
Ashanti,Ejisu Juaben,Ehiaminchini
Ashanti,Bosomtwe,Ehiaminchini
Western,Ahanta West,Ehiahianda
Volta,Ketu North District,Ehie
Central,Komenda/Edina/Eguafo/Abirem,Eguafo
Western North,Sefwi-Wiawso,Efwhia
Central,Cape Coast,Efutu
Western,Wassa Amenfi East,Efumkrom
Central,Komenda/Edina/Eguafo/Abirem,Efumkrom
Bono East,Kintampo North Municipal District,Efuma
Western,Tarkwa Nsuaem,Efuanta
Western,Wassa Amenfi West,Asankran Efiena
Eastern,Akuapim North,Efiefi
Ashanti,Sekyere East,Efiduasi
Eastern,New Juaben,Efiduasi
Ashanti,Obuasi,Efiamuakrom
Western,Secondi Takoradi,Effia
Western,Jomoro,Efesu
Volta,Akatsi South,Efeko
Western,Wassa Amenfi Central,Efa
Ashanti,Bekwai,Edwinasi
Ashanti,Atwima Kwanwoma,Aduwomasi
Central,Komenda/Edina/Eguafo/Abirem,Edumtu
Central,Abura/Asebu/Kwamankese,Edumfa
Central,Asikuma/Odoben/Brakwa,Edumenu
Central,Ekumfi,Edumata
Eastern,Asuogyaman,Edumasin
Western,Mpohor,Edumasi
Ashanti,Ejisu Juaben,Edumasa
Ashanti,Bekwai,Adumasa
Central,Agona West,Edumasa
Central,Asikuma/Odoben/Brakwa,Edumasa
Ashanti,Afigya-Kwabre District,Aduman
Ashanti,Atwima Nwabiagya,Akuapem
Ashanti,Amansie West,Edukroba
Western North,Bia,Eluokrom
Ashanti,Amansie West,Adubiase
Ashanti,Adansi North,Edubiase
Central,Assin South,Edubiasi
Ashanti,Amansie West,Adubia
Eastern,Akyemansa,Edubia
Ashanti,Obuasi,Odumase
Central,Assin South,Eduanim
Ashanti,Sekyere Afram Plains,Eduamuyao
Ashanti,Bekwai,Eduam
Central,Ajumako/Enyan/Essiam,Eduakwa
Central,Mfatseman,Eduafu
Ashanti,Bosomtwe,Adwaden
Ashanti,Atwima Kwanwoma,Eduadin
Bono East,Pru,Eduacheremu
Western,Jomoro,Edu
Western,Wassa Amenfi Central,Edrowso
Oti,Kadjebi,Mont Edouka
Western,Tarkwa Nsuaem,Edokrom
Ashanti,Mampong,Edijwan
Ashanti,Amansie Central,Adibrim
Western,Wassa Amenfi East,Edianu
Western,Wassa Amenfi Central,Edang
Western,Mpohor,Eda
Central,Asikuma/Odoben/Brakwa,Echwiechire
Central,Ekumfi,Echwa
Western,Jomoro,Echimanu
Central,Gomoa East,Echifikwa
Ashanti,Ahafo Ano South,Acheiso
Ashanti,Unknown,Ekyie
Central,Komenda/Edina/Eguafo/Abirem,Echiasi
Western,Mpohor/Wassa East,Echei
Western,Jomoro,Egbazo
Ashanti,Obuasi,Ebutumtumso
Central,Agona West,Ebutia
Ashanti,Ahafo Ano South,Aburaso
Ashanti,Amansie Central,Bunso
Western,Mpohor,Ebunaso
Western,Nzema East,Ebunaso
Central,Abura/Asebu/Kwamankese,Ebu
Western,Wassa Amenfi Central,Ebu
Greater Accra,Ga West,Ebron
Western,Jomoro,Eborabo
Ashanti,Amansie Central,Ebo Number Two
Ashanti,Amansie Central,Aboo
Ashanti,Asante Akim North,Ebisua
Western,Unknown,Ebi River Shelterbelt Forest Reserve
Central,Gomoa West,Ebiramkwa
Central,Ekumfi,Ebiramkrom
Ashanti,Amansie West,Ebiram
Central,Ekumfi,Ebiram
Ashanti,Atwima Nwabiagya,Abira
Ashanti,Kwabre District,Ebira
Western,Wassa Amenfi Central,Ebin
Western,Unknown,Ebi
Western,Ellembelle,Ebi
Volta,Ho West,Ebetu
Western North,Aowin/Suaman,Ebawtem
Western North,Aowin/Suaman,Ebakajo
Western,Ahanta West,Atwepo
Eastern,Unknown,Eastern Region
Volta,Keta,Dzrokofe
Oti,Jasikan,Dzolu
Volta,Ho West,Dzolokpuita
Volta,South Tongu District,Dzogbove
Volta,Ketu South District,Dzogbetu
Volta,Ho,Dzogbe
Volta,Ketu North District,Dzodze
Volta,Keta,Dzita
Volta,Kpando,Dzigbe
Volta,North Dayi,Dzigbe
Volta,Ketu North District,Dzigakofe
Volta,Keta,Dzelukofe
Volta,Ho,Dzefe
Volta,Adaklu,Dzakpo
Volta,South Dayi,Dzake
Volta,Hohoe,Dzagbedze
Volta,South Tongu District,Dzadekope
Ashanti,Ahafo Ano South,Dwinyama
Ashanti,Ahafo Ano South,Ounyankwanta
Ashanti,Unknown,Denyami
Western North,Sefwi-Wiawso,Dwinasi
Central,Asikuma/Odoben/Brakwa,Dwinama
Bono East,Sene East,Dwija
Western,Wassa Amenfi Central,Dwiasi
Bono East,Sene,Dwan
Western,Wassa Amenfi East,Dawurampon
Western North,Sefwi Akontobra,Dewankrom
Oti,Nkwanta South,Dutukpene
Volta,North Dayi,Dutayingbe
Northern,Yendi,Dussani
Upper East,Garu District,Dumisbuliga
Upper East,Talensi-Nabdam,Dusi
Upper East,Bongo District,Dusabluga
Upper East,Garu District,Duri
Upper West,Jirapa,Duori
Central,Assin North,Dupenasi
Upper West,Sissala West,Dunonyuale
Ashanti,Ahafo Ano South,Odumsiso
Central,Upper Denkyira East,Dunkwa
Western,Wassa Amenfi West,Dunkwa
Central,Gomoa West,Dunkwa
Central,Abura/Asebu/Kwamankese,Dunkwa
Western,Shama,Dunkwa
Ashanti,Bosome Freho,Dunkra
Northern,Gushiegu,Dunjocho
Northern,Kumbumgu,Duni
Northern,Mion,Duni
Northern,Sagnerigu,Dungu
Bono,Unknown,Dunguru
Volta,Central Tongu,Dunchirikope
Ashanti,Adansi North,Dunchie
Northern,Karaga,Duna
Bono East,Kintampo South District,Dumso
Central,Assin North,Dumprara
Ashanti,Amansie West,Dumposo
Eastern,Akuapim South,Dumpon
Bono,Banda,Dumpofie
Central,Komenda/Edina/Eguafo/Abirem,Dumpaw
Ashanti,Offinso Municipal District,Dumisua
Bono East,Sene East,Dumienu
Ashanti,Afigya-Kwabre District,Dumechino
Bono,Banda,Bumbole
Oti,Krachi East,Dambai
Bono,Sunyani West,Dumasua
Ashanti,Kwabre District,Dumanafo
Western,Mpohor/Wassa East,Domama Wasa
Ashanti,Ejisu Juaben,Dumakwai
Ashanti,Atwima Kwanwoma,Domakwae
Central,Upper Denkyira East,Dumakwai
Upper East,Bawku Municipal District,Dulugu
Northern,Tolon District,Dulnayinga
Northern,Unknown,Doli
Ashanti,Sekyere Afram Plains,Dukwa
Ashanti,Asante Akim North,Dukusen
Western,Nzema East,Dukurom
Volta,North Dayi,Dukuma
Western,Ellembelle,Dukubaka
Western,Wassa Amenfi East,Dukoto
Western,Wassa Amenfi Central,Dukoto
Volta,Afadzato South,Duga
Western,Wassa Amenfi West,Dufoasi
Volta,North Tongu,Dufo
Greater Accra,Shai Osudoku District,Dufo
Central,Agona East,Duetu
Volta,Akatsi South,Duepe
Upper East,Garu District,Dudongo
Volta,Keta,Dudu
North East,Chereponi,Dudongo
Northern,Karaga,Dudawge
Upper West,Wa East,Ducie
Ashanti,Asante Akim North,Dubrim
North East,Bunkpurugu Nakpanduri District,Duboni
Upper West,Sissala West,Duwie
Western,Nzema East,Bedibesire
Eastern,Nsawam Adoagyiri,Duayeden
Ahafo,Tano North,Duayaw-Nkwanta
Bono,Dormaa,Duasidan
Ashanti,Kumasi,Duase
Ashanti,Atwima Nwabiagya,Duasi
Volta,Central Tongu,Duase
Ashanti,Afigya-Kwabre District,Duaponko
Ashanti,Amansie West,Duankontwi
Ashanti,Ejisu Juaben,Duampompo
Ashanti,Adansi North,Duampompo
Western,Wassa Amenfi Central,Duamimu
Western,Nzema East,Duala
Central,Agona East,Duakwa
Ashanti,Atwima Kwanwoma,Duakoben
Western,Ahanta West,Duahorodo
Ashanti,Asante Akim South District,Duahien
North East,East Mamprusi,Duagbine
Central,Asikuma/Odoben/Brakwa,Duafa
Bono,Jaman North,Duadaso Number Two
Bono,Jaman North,Duadaso Number One
Central,Komenda/Edina/Eguafo/Abirem,Duachimiase
Bono East,Atebubu-Amantin District,Duaboni
Oti,Biakoye,Duaboni
Central,Agona East,Duaboni
Western,Unknown,Duobun
Upper East,Bongo District,Dua-Apuongo
Upper East,Bongo District,Dua
Upper West,Sissala West,Du
North East,West Mamprusi,Du
Upper West,Wa East,Duu
Upper West,Wa East,Du
Bono East,Nkoranza North District,Droma-Kuma
Bono East,Nkoranza North District,Droma
Bono,Wenchi,Droboso
Ashanti,Sekyere Afram Plains,Drobongma
Volta,Ketu North District,Drefe
Bono,Banda,Dre
Western,Nzema East,Drawso
Western,Unknown,Draw River Forest Reserve
Volta,North Tongu,Drakofe
Ashanti,Sekyere Afram Plains,Drabonso
Ashanti,Ejura Sekyedumase,Drabon
Volta,North Dayi,Dra
Greater Accra,Shai Osudoku District,Doyum
Volta,Agotime Ziope,Doyea
Volta,Ketu South District,Doyakope
Volta,Ketu North District,Dovi
Volta,Keta,Doveme
Volta,Central Tongu,Dove
Upper West,Nadowli,Dounjang
Upper West,Nadowli,Doung
Ashanti,Bekwai,Dotum
Volta,Agotime Ziope,Dotsokofe
Ashanti,Amansie Central,Dotom
Ashanti,Adansi South,Dotom
Volta,North Tongu,Dotokofe
Bono East,Nkoranza South,Dotobaa
Ashanti,Atwima Nwabiagya,Dotawasi
Upper East,Bolgatanga Municipal District,Dorungu
Oti,Krachi East,Dormabin
Bono,Dormaa,Domaa-Ahenkro
Upper West,Jirapa,Doggo
Upper East,Builsa South,Dorinsa
Upper West,Wa West,Dorimon
Upper East,Garu District,Doadnyediga
Upper West,Wa West,Deligoyiri
Ashanti,Ejisu Juaben,Donyina
Upper West,Lawra,Doweni
Volta,South Tongu District,Donukope
Ashanti,Ejisu Juaben,Donuaso
Bono East,Nkoranza South,Dononso
Ashanti,Atwima Mponua,Donkoto
Bono East,Nkoranza South,Donkoro Nkwanta
Savannah,North Gonja,Donkompi
Upper East,Builsa South,Doninga-Dorinsa
Western North,Aowin/Suaman,Donikrom
Greater Accra,Ada East,Dongwam
Northern,Tatale-Sangule District,Dondonne
Western,Nzema East,Domunli
Eastern,Akyemansa,Domrebo
Ashanti,Kumasi,Dompoase
Ashanti,Adansi North,Dompoase
Central,Twifo Hemang Lower Denkyira,Dompin
Western,Shama,Dompimkwanta
Western,Tarkwa Nsuaem,Dompim
Western,Mpohor/Wassa East,Dompim
Central,Assin North,Dompem
Western,Wassa Amenfi East,Dompem
Savannah,Bole,Dompe
Western,Wassa Amenfi East,Dompoase
Ashanti,Bosome Freho,Dompa
Western,Unknown,Domini
Western North,Bibiani/Ahwiaso/Bekwai,Domenebo Number Two
Western North,Bibiani/Ahwiaso/Bekwai,Dominibo Number One
Ashanti,Atwima Nwabiagya,Dominasi
Ashanti,Bekwai,Domenase
Ashanti,Obuasi,Dominasi
Western,Mpohor/Wassa East,Dominasi
Central,Mfatseman,Dominasi
Central,Komenda/Edina/Eguafo/Abirem,Komenda Domenase
Ashanti,Amansie West,Kaniago
Ashanti,Amansie West,Domi Beposo
Eastern,Ayensuano,Domiabra Amanfro
Bono East,Kintampo North Municipal District,Domeabra
Ashanti,Offinso North,Domiabra
Ashanti,Ahafo Ano South,Domiabra
Ashanti,Sekyere South,Domeabra
Ashanti,Ahafo Ano South,Dameabra
Ashanti,Sekyere East,Domiabra
Ashanti,Ejisu Juaben,Domiabra
Ashanti,Asante Akim North,Domiabra
Ashanti,Kumasi,Domeabra
Ashanti,Atwima Kwanwoma,Domiabra
Eastern,Asuogyaman,Domiabra
Ashanti,Amansie Central,Domiabra
Ashanti,Amansie West,Domiabra
Ashanti,Obuasi,Domiabra
Ashanti,Obuasi,Domeabra
Ashanti,Adansi South,Domiabra
Eastern,Ayensuano,Domiabra
Western,Wassa Amenfi East,Domeabra
Eastern,Upper West Akim,Domiabra
Central,Agona East,Domiabra
Central,Asikuma/Odoben/Brakwa,Domiabra
Western,Wassa Amenfi West,Domiabra
Western,Prestea-Huni Valley,Domiabra
Greater Accra,Ga South,Domeabra
Western,Mpohor/Wassa East,Domiabra
Western North,Aowin/Suaman,Domeabra
Central,Assin South,Domiabra
Western,Jomoro,Domiabra
Western,Tarkwa Nsuaem,Domiabra
Western,Nzema East,Domiabra
Western,Ellembelle,Domiabra
Western North,Juaboso,Dominibo
Ashanti,Sekyere South,Domi
Ashanti,Amansie West,Domi
Ashanti,Bekwai,Domi
Western North,Sefwi Akontobra,Domi
Eastern,Ayensuano,Domi
Bono,Berekum,Domfete
Greater Accra,Ga West,Domfase
Volta,Ho West,Dometo
Ahafo,Asunafo North,Domenasi
Ashanti,Amansie West,Domenasi
Central,Upper Denkyira West,Domenase
Western,Wassa Amenfi Central,Dominase
Central,Assin South,Domenasi
Central,Komenda/Edina/Eguafo/Abirem,Domenasi
Western,Mpohor,Domenasi
Western,Nzema East,Domenasi
Volta,Afadzato South,Domefe
Eastern,Birim Central,Domeabra
Volta,Keta,Domeabra
Volta,Ho,Dome
Ashanti,Ejisu Juaben,Domasi
Greater Accra,Ga West,Dome
Greater Accra,Ga East,Dome
Northern,Unknown,Dole
Savannah,Bole,Dole
Upper West,Sissala East,Dolbizan
Savannah,Bole,Dakrupe
Ashanti,Adansi South,Dukrowoba
Eastern,Ayensuano,Dokrochiwa
Greater Accra,Ada West,Dokpe
Volta,North Tongu,Dokofe
Upper West,Unknown,Dojoli
Northern,Gushiegu,Dogutetiego
Upper West,Daffiama Bussie Issa District,Doguba
Bono East,Pru,Dogokrom
Greater Accra,Ada West,Dogobom
Greater Accra,Ada East,Dogo
Volta,Adaklu,Doglobo
Volta,Ketu South District,Dogbekope
Upper West,Wa West,Dogberipari
Northern,Nanumba North,Dogbam
Upper East,Garu District,Dogbale
Eastern,Asuogyaman,Doenta
Volta,South Tongu District,Dodukpo
Greater Accra,Shai Osudoku District,Dodowa
Bono,Unknown,Dodosua
Bono,Jaman South,Doduoso
Upper West,Wa,Dodoyiri
Oti,Kadjebi,Dodo Amanfro
Oti,Kadjebi,Dodo
Volta,Adaklu,Dodjankpo
Oti,Kadjebi,Dodi Papase
Ashanti,Atwima Nwabiagya,Dodi
Upper West,Wa West,Dochire
Eastern,Kwaebibirem,Dochi
Greater Accra,Ga West,Doblogonno
Greater Accra,Unknown,Dobro
Eastern,Nsawam Adoagyiri,Doboro
Northern,Kpandai,Dobone
Upper West,Wa West,Dabo
Bono,Banda,Dobo
North East,Bunkpurugu Nakpanduri District,Dobinyetaw
Upper East,Kassena Nankana,Doba
Northern,Gushiegu,Djun
Volta,Akatsi District,Djotefekofe
Volta,Central Tongu,Djopo
Northern,Nanumba North,Djonajile
Volta,South Dayi,Djokpo
Volta,Ho West,Djokpe
Volta,Ho West,Djogbefeme
Northern,Zabzugu District,Djo
Northern,Nanumba North,Djo
Northern,Gushiegu,Djimbele
Volta,Ketu South District,Djikome
Volta,Kpando,Djigbe
Volta,Ho,Djeve
Volta,North Dayi,Djeme
Volta,Ho West,Djega
Volta,Akatsi District,Djayime
Volta,Akatsi South,Djave
Volta,Adaklu,Djave
Upper West,Sissala West,Djarwia
Volta,Agotime Ziope,Djaremave
Eastern,Nsawam Adoagyiri,Djankrom
Northern,Nanumba South,Djaleba
